Accession	AccessionNoIsoform	Gene	Description	NeuroMarker	LysosomalMarkers	HD1_IN	HD4_IN	HD5_IN	HD6_IN	HDKP_IN	HDRH_IN	HDSD_IN	HD1_FB	HD4_FB	HD5_FB	HD6_FB	HDKP_FB	HDRH_FB	HDSD_FB	C11_IN	C12_IN	CBS_IN	CGE_IN	CKK_IN	CKP_IN	TS_IN	C11_FB	C12_FB	CBS_FB	CGE_FB	CKK_FB	CKP_FB	TS_FB
P14618	P14618	PKM	Pyruvate kinase PKM OS=Homo sapiens OX=9606 GN=PKM PE=1 SV=4			28.84523773	29.11616135	28.86159134	28.96515083	29.03269577	28.91489029	29.05574226	29.50522614	29.93841171	29.88440514	29.64967537	29.71030807	29.79409981	29.79650497	28.90430069	29.33121872	29.24898529	29.08992004	28.92250824	29.11308289	28.95448112	29.47589684	29.88974762	29.78325272	29.8664856	29.86204529	29.82613182	29.83972931
P02452	P02452	COL1A1	Collagen alpha-1(I) chain OS=Homo sapiens OX=9606 GN=COL1A1 PE=1 SV=5			29.21802902	29.24674225	28.65563774	28.59161758	28.9171524	28.1491394	29.11671066	28.16253281	27.1317749	28.04902649	27.56387901	27.62494278	27.83297157	28.0243721	28.97496986	29.97558022	28.56220627	28.91619301	29.1564064	28.84869385	27.70227432	28.12830544	28.36468697	28.01717758	28.57684517	28.40135574	28.71404648	27.89743996
P50454	P50454	SERPINH1	Serpin H1 OS=Homo sapiens OX=9606 GN=SERPINH1 PE=1 SV=2			29.1313076	29.20807457	27.75141907	28.78961182	28.86708069	27.86081696	28.45689011	28.08600235	27.63749123	28.09214401	27.8628006	27.90849304	28.04770279	28.16251945	28.89103699	29.38018227	28.82311821	28.95498466	29.01047897	28.63812637	27.16408348	27.88323212	28.51197052	28.00908279	28.31205368	28.36161804	28.72383499	27.6462326
P68431	P68431	HIST1H3A	Histone H3.1 OS=Homo sapiens OX=9606 GN=HIST1H3A PE=1 SV=2			28.66721344	28.84132004	29.32503128	28.97605133	28.81620407	29.07172585	28.82530212	28.16055298	28.28769302	28.39706802	28.365942	28.223526	28.20503044	27.75973892	28.73980141	28.37073135	28.61626244	28.29158592	28.74133301	28.72346115	29.1285038	28.05698776	27.8730793	27.90330505	27.75428009	27.94367981	27.8936615	28.02095413
P07237	P07237	P4HB	Protein disulfide-isomerase OS=Homo sapiens OX=9606 GN=P4HB PE=1 SV=3			29.13626099	29.14058876	27.96365166	28.37605286	28.76965523	28.12258911	28.78259468	28.32525444	28.09680939	28.51815033	28.09932709	28.33642197	28.29662895	28.71033096	28.79033089	29.36112404	28.84302521	29.00514412	28.98006821	28.65028381	27.80607986	28.34020424	28.54230118	28.38933563	28.59978485	28.62820435	28.55400467	28.40316582
P08758	P08758	ANXA5	Annexin A5 OS=Homo sapiens OX=9606 GN=ANXA5 PE=1 SV=2			28.67656326	29.25544357	28.76232338	28.79973221	28.66598701	28.46161079	28.8111763	28.75142097	28.59698677	28.76934433	28.3752327	28.50328445	28.32203865	29.0512619	28.75481224	29.24962234	28.92288589	28.98103523	28.54272461	29.06681252	28.39279556	28.74818611	29.13513374	28.75199318	28.89729691	29.05068588	29.05838585	28.57860947
P08238	P08238	HSP90AB1	Heat shock protein HSP 90-beta OS=Homo sapiens OX=9606 GN=HSP90AB1 PE=1 SV=4			28.492342	28.32258987	28.67232513	28.71493149	28.66673851	28.77936554	28.62973976	28.75257111	28.77646637	28.77263641	29.00920296	28.83695221	28.7435627	28.6242218	28.5881691	28.24901009	28.50580215	28.24335861	28.59663391	28.51566887	28.71170044	28.76840401	28.54427528	28.72190475	28.5879879	28.56027794	28.6091423	28.84043503
P07355-2	P07355	ANXA2	Isoform 2 of Annexin A2 OS=Homo sapiens OX=9606 GN=ANXA2			28.94293594	29.40401077	28.35354805	27.91763306	28.631464	28.27025986	28.88223648	30.48123932	30.32766151	30.33259201	30.00329208	30.33723831	30.30035019	30.6056881	28.56573868	29.87664032	29.33215714	29.79053497	28.82865334	29.48799515	27.5831852	30.16196823	30.51089096	30.30234909	30.76097488	30.59333038	30.73412132	30.455616
P04264	P04264	KRT1	"Keratin, type II cytoskeletal 1 OS=Homo sapiens OX=9606 GN=KRT1 PE=1 SV=6"			29.77031708	28.36917496	30.4725914	28.70869064	28.57201576	28.9343071	30.39658737	29.2600441	30.42396736	29.17329216	28.80507278	29.41437531	29.13928032	28.68864822	28.3524437	30.05873489	30.16524887	29.57572365	29.09366989	28.68107224	29.96948433	31.10796356	30.48678398	30.01796341	29.04038239	29.94582367	29.09612465	30.06600952
P30101	P30101	PDIA3	Protein disulfide-isomerase A3 OS=Homo sapiens OX=9606 GN=PDIA3 PE=1 SV=4			28.61268044	29.03445816	28.31027222	28.54824066	28.53815651	28.21025848	28.43579865	27.63871574	27.46482468	27.75018692	27.51054192	27.53949738	27.63847733	27.81264496	28.5491581	28.67856979	28.62405586	28.51670647	28.59765244	28.45524216	28.13259125	27.57495689	27.79963303	27.63702774	27.81232834	27.81067085	28.02128983	27.50595093
P27797	P27797	CALR	Calreticulin OS=Homo sapiens OX=9606 GN=CALR PE=1 SV=1			28.40319252	28.76472473	28.2576828	28.42910767	28.53291321	28.18719292	28.44208336	27.98526955	27.92576981	28.12467957	27.79874802	27.93147278	27.92709351	28.21768951	28.3774662	28.35678864	28.36444092	28.10939026	28.46424294	28.21502686	28.15561104	28.01235962	28.04189682	27.91815567	28.17071724	28.06437683	28.31987762	27.75974274
P06733	P06733	ENO1	Alpha-enolase OS=Homo sapiens OX=9606 GN=ENO1 PE=1 SV=2			28.23324776	28.42405319	28.28473091	28.3363266	28.48714256	28.29386711	28.44314194	28.73843193	28.79825211	29.07217216	28.89159966	28.90148544	28.81895256	28.65200424	28.442276	28.84088326	28.86823654	28.52029037	28.40626907	28.91481972	28.17445946	28.63319397	28.88866615	28.85290909	28.67043686	28.61142159	28.75073051	28.80881691
P11142	P11142	HSPA8	Heat shock cognate 71 kDa protein OS=Homo sapiens OX=9606 GN=HSPA8 PE=1 SV=1			28.60312653	28.25973511	28.44729614	28.52651978	28.43255043	28.50935555	28.43546677	28.66215134	28.84339333	28.70130157	29.01457787	28.85808563	28.57992172	28.35480881	28.36299706	28.35807991	28.38307762	28.35721207	28.38220406	28.43725014	28.41874695	28.61282349	28.65542603	28.63444138	28.7795105	28.32090759	28.80422592	28.85162163
P60174	P60174	TPI1	Triosephosphate isomerase OS=Homo sapiens OX=9606 GN=TPI1 PE=1 SV=3			28.37797737	28.41020584	28.44617462	28.37752914	28.4196167	28.40542793	28.50669861	27.57442474	27.73833084	27.92176056	27.92424965	27.87983704	27.76079941	27.92146683	28.43999672	28.59839821	28.70673561	28.19857025	28.46859741	28.6768837	28.33676529	27.67240143	27.81990814	27.82209778	27.74907303	27.95388412	27.7171669	28.06454659
P29401-2	P29401	TKT	Isoform 2 of Transketolase OS=Homo sapiens OX=9606 GN=TKT			27.89070892	28.77625084	28.20718384	28.70044708	28.38376617	28.05785751	28.1157093	26.5741539	26.97358704	27.05469894	27.19359207	26.80926132	26.83224869	26.93115616	28.0200367	28.38367081	28.03407478	27.9711628	28.40655136	28.05907249	27.89762306	26.57474709	26.90172577	26.89204788	26.91235924	26.99059677	26.77709198	26.82016373
P23284	P23284	PPIB	Peptidyl-prolyl cis-trans isomerase B OS=Homo sapiens OX=9606 GN=PPIB PE=1 SV=2			28.61488533	29.1348381	28.09099007	28.36589813	28.40420914	28.15202904	28.25972176	27.88393784	27.75011063	28.00499535	27.66847992	27.76858139	27.79942894	28.23178291	28.4124279	28.63381958	28.47951126	28.49476051	28.46474075	28.30220222	28.03554916	27.9025898	28.11501312	27.96180534	28.05981827	28.09577751	28.29975891	27.75909996
P00338-3	P00338	LDHA	Isoform 3 of L-lactate dehydrogenase A chain OS=Homo sapiens OX=9606 GN=LDHA			28.43932724	28.6057682	28.02519035	28.10270691	28.38537598	28.04102898	28.65951157	28.96075439	28.76915741	28.80890083	28.67319298	28.95745468	28.77942276	29.23274612	28.53756714	29.12602043	29.01082611	28.69614983	28.5318222	29.0520668	27.81845284	28.90482521	29.05903435	29.18691635	29.05054855	29.10322189	29.13447952	29.25785065
P35579	P35579	MYH9	Myosin-9 OS=Homo sapiens OX=9606 GN=MYH9 PE=1 SV=4			28.32669067	27.88160133	28.34455299	28.30831718	28.35097694	28.39025879	28.55792809	29.55871964	29.82891655	29.83643913	29.46735764	29.75095749	29.99642372	29.78400612	28.34414673	28.44732666	28.49895096	28.59909058	28.33275223	28.29494858	28.05512428	29.49826622	30.1306076	29.78079987	30.18621826	29.95710564	30.10704422	29.64873505
P07339	P07339	CTSD	Cathepsin D OS=Homo sapiens OX=9606 GN=CTSD PE=1 SV=1		+	28.69449615	29.38936043	28.80681992	28.40334892	28.38917351	28.59780502	28.36519623	24.52509689	25.06454086	24.62998962	24.23293686	24.47174835	24.63152885	24.86951828	28.32686043	28.58443451	28.79902458	28.68611145	28.40022659	28.66425514	28.6029644	24.62738609	24.94991302	24.73596954	24.78817177	24.81819153	24.84992981	25.13449097
P09382	P09382	LGALS1	Galectin-1 OS=Homo sapiens OX=9606 GN=LGALS1 PE=1 SV=2			28.39769554	28.49199486	27.99158669	28.01554871	28.27224731	27.90086365	28.40325546	29.29814911	29.13443375	29.24359894	29.04716301	29.1223526	29.27866364	29.51529121	28.01208687	28.9105072	28.48614883	28.6776619	28.26770401	28.44872284	27.83778381	28.99037743	29.40793991	29.00881195	29.49990463	29.46549988	29.43918228	29.05919647
P40261	P40261	NNMT	Nicotinamide N-methyltransferase OS=Homo sapiens OX=9606 GN=NNMT PE=1 SV=1			28.3314743	28.08041382	28.34644318	28.31595421	28.28837776	28.2259922	28.29325867	26.36896706	26.71816826	26.26745224	26.98301888	26.78090668	26.87928772	26.35303307	28.36605453	28.41672134	28.51514626	28.2606945	28.26057816	28.09868431	28.0717907	26.42718124	26.80632401	26.1916008	26.67686081	26.61164474	26.48982048	25.53900528
P12109	P12109	COL6A1	Collagen alpha-1(VI) chain OS=Homo sapiens OX=9606 GN=COL6A1 PE=1 SV=3			27.48407364	28.67838287	27.52300835	27.8895874	28.27459908	27.21287537	28.2086792	26.23435402	26.13697433	26.32427597	25.64618683	26.33011246	26.01343536	26.45309448	27.97525787	30.08517265	27.74693298	27.53566933	27.99820709	27.78738403	26.74725342	25.74126434	26.79486465	25.74480438	26.08017731	26.27939987	25.91899681	26.05724716
P04075-2	P04075	ALDOA	Isoform 2 of Fructose-bisphosphate aldolase A OS=Homo sapiens OX=9606 GN=ALDOA			28.37116051	28.29732895	28.12888718	28.24310303	28.25713158	28.21687698	28.38237572	28.15095329	28.11478043	28.39307213	28.25994301	28.4233551	28.28298759	28.42470551	28.3826313	28.71240425	28.51176262	28.02119827	28.31074905	28.47049713	27.74238777	28.20042992	28.3680954	28.15560913	28.42941666	28.36831284	28.67544937	28.44857216
P10809	P10809	HSPD1	"60 kDa heat shock protein, mitochondrial OS=Homo sapiens OX=9606 GN=HSPD1 PE=1 SV=2"			28.47672462	28.37582779	28.11565971	28.26284027	28.24603844	28.39081955	28.19987488	27.57430458	27.35378075	27.34087944	27.49749184	27.45954132	27.37208176	27.4395504	28.34968185	27.94120789	28.28203011	27.98085022	28.1721611	28.38700485	28.34453583	27.42053223	27.24456024	27.5452404	27.26927567	27.52417183	27.28209114	27.52894974
Q00610	Q00610	CLTC	Clathrin heavy chain 1 OS=Homo sapiens OX=9606 GN=CLTC PE=1 SV=5			28.17182922	28.04940224	28.06424713	28.1662178	28.21396828	28.09295082	28.14290428	27.99986267	27.91990662	28.11301613	27.87269974	27.97054291	27.99262238	28.15701675	28.0205555	28.15060616	28.12068176	28.01536369	28.06924438	28.11184311	27.99724197	27.67419624	28.01691818	28.07474899	28.24626541	28.0658226	28.0306015	28.06568146
P06576	P06576	ATP5F1B	"ATP synthase subunit beta, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5F1B PE=1 SV=3"			28.27626228	28.3959446	28.10713959	28.08233261	28.20180511	28.28457832	28.09866333	26.78684998	26.8341732	26.77873421	26.65817642	26.75113678	26.68754578	26.84947586	28.16267204	28.0613575	28.28406906	27.92167473	28.06369209	28.13601685	28.21639633	26.37697983	26.71116638	26.81655121	26.79545212	26.77289963	26.57364273	26.76860237
P00558	P00558	PGK1	Phosphoglycerate kinase 1 OS=Homo sapiens OX=9606 GN=PGK1 PE=1 SV=3			28.12698364	28.32818794	28.04958916	28.07468987	28.18410873	27.92032814	28.36982918	27.0009346	26.95752335	27.19482422	26.9787674	27.15252304	27.03666687	27.3988266	28.34817886	28.65385437	28.63142776	27.79038811	28.20471954	28.67702675	28.25048637	27.02107811	27.22210693	27.20290756	27.22529221	27.26768684	27.19619751	27.48215675
P22626	P22626	HNRNPA2B1	Heterogeneous nuclear ribonucleoproteins A2/B1 OS=Homo sapiens OX=9606 GN=HNRNPA2B1 PE=1 SV=2			27.93425179	27.85453415	28.43010521	28.31111336	28.16792107	28.35321808	28.08314705	27.37091255	27.33693886	27.44985199	27.61496925	27.32637024	27.40287781	27.13283539	28.02484322	27.32492638	27.88140488	27.25322342	28.03684998	27.95443535	28.28204536	27.30189896	27.09924316	27.2947197	27.18903351	27.210495	27.26722908	27.33507156
P21333	P21333	FLNA	Filamin-A OS=Homo sapiens OX=9606 GN=FLNA PE=1 SV=4			28.63884926	28.15658188	27.76224899	28.21899414	28.14198685	27.8655777	28.38355827	29.97468567	30.16886711	30.2263813	29.86370468	29.81129456	30.4316597	30.18193817	28.43720627	29.00459671	28.78839302	29.4790287	28.3818512	28.72452354	27.30868912	29.95261765	30.53145409	30.04088593	30.68716431	30.33273315	30.4132328	30.02355576
P25705	P25705	ATP5F1A	"ATP synthase subunit alpha, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5F1A PE=1 SV=1"			28.14008522	28.18870735	27.89678955	27.9433403	27.96651649	28.06151199	27.90099716	26.64900017	26.68930626	26.64942169	26.59216881	26.59103394	26.54902077	26.731884	27.93767548	27.88067436	28.04928017	27.7048378	27.87078285	27.87795639	28.02671814	26.43770409	26.57767677	26.60624695	26.68980026	26.73757362	26.48907661	26.60145187
P12110	P12110	COL6A2	Collagen alpha-2(VI) chain OS=Homo sapiens OX=9606 GN=COL6A2 PE=1 SV=4			27.34884644	28.2986908	27.46230125	27.88472748	27.96634483	27.34789085	27.96626663	26.78412819	26.6069622	26.77218246	26.51831627	26.76702499	26.70072174	26.73786926	27.93940926	29.84545708	27.7495079	27.66973114	27.90555	27.63857841	26.90643311	26.52083397	26.82403755	26.55415535	26.67482948	26.71899033	26.56620979	26.61605263
P13639	P13639	EEF2	Elongation factor 2 OS=Homo sapiens OX=9606 GN=EEF2 PE=1 SV=4			27.86551857	27.90281296	27.8127079	28.072052	27.95142174	27.90061951	28.05998802	28.93478966	29.07552338	29.0032692	28.92799568	28.97107315	28.78855896	28.78446198	27.90403175	27.80859184	27.94313622	27.80500031	27.98801422	27.88810921	27.62491226	28.89311218	28.60348511	28.9309082	28.79137421	28.78384018	28.74263	28.98498344
P08123	P08123	COL1A2	Collagen alpha-2(I) chain OS=Homo sapiens OX=9606 GN=COL1A2 PE=1 SV=7			28.37545395	28.40559769	27.77641678	27.70619011	27.9315834	27.32677269	28.38614273	27.42549324	26.4954052	27.27573013	26.82766342	26.9018383	26.93942642	27.24855042	27.90563393	29.47585106	27.4975605	27.84445572	28.25927544	27.65132332	26.87346458	27.41970062	27.46559715	27.27035904	27.57548141	27.45537567	27.82260895	27.1844635
Q01469	Q01469	FABP5	Fatty acid-binding protein 5 OS=Homo sapiens OX=9606 GN=FABP5 PE=1 SV=3			26.85131073	26.93915367	28.01747894	26.94403648	27.93067741	27.30348206	27.59310913	23.67400169	23.14765167	23.33991814	23.6426487	23.63842773	23.27252579	22.68192673	27.74272728	26.98274994	27.492836	25.73242569	26.70670128	27.8893261	27.20219803	23.44032288	22.96655464	23.07284737	23.17804527	22.89368057	23.45195007	23.15782928
P47897	P47897	QARS	Glutamine--tRNA ligase OS=Homo sapiens OX=9606 GN=QARS PE=1 SV=1			27.72387886	27.63246346	28.41479301	27.7483139	27.89723396	27.95299911	27.87731552	27.99847412	28.29741096	28.11058044	28.00176239	28.050354	28.06413269	27.97001648	27.77285576	27.94098282	27.9553833	28.63445663	27.72252655	27.97086716	28.53126526	28.3706913	28.6403656	28.06343842	28.36265945	28.30405045	28.10631561	28.24385834
Q15149	Q15149	PLEC	Plectin OS=Homo sapiens OX=9606 GN=PLEC PE=1 SV=3			28.21121407	28.49944305	27.77864456	27.59503555	27.77797508	27.70178413	28.12787247	29.37295532	29.82870674	29.80086136	29.37479782	29.44809723	29.43074989	29.86726761	28.02887154	28.46931839	28.4901123	28.74334526	27.95874786	28.19290733	27.37882614	29.59798813	29.2616806	29.78661346	29.83632278	29.53940392	29.19573593	29.39199448
P35527	P35527	KRT9	"Keratin, type I cytoskeletal 9 OS=Homo sapiens OX=9606 GN=KRT9 PE=1 SV=3"			28.94345474	27.70842934	29.88020134	27.82009125	27.79504776	28.02611542	29.56380463	28.43693924	28.51399231	28.2506485	28.0873909	28.56263733	28.20988274	27.81151199	27.52605438	29.13521004	29.39256287	28.73985672	28.20116806	27.8117218	29.1769104	29.36779022	29.674366	29.19274902	28.09661865	29.1087532	28.1378212	29.35138321
P27144	P27144	AK4	"Adenylate kinase 4, mitochondrial OS=Homo sapiens OX=9606 GN=AK4 PE=1 SV=1"			27.61511421	27.28945923	28.60838699	27.67967987	27.82369232	27.74260712	27.90963364	27.85331154	28.36040115	28.03798103	27.7353878	27.94718742	27.84836197	27.85741043	27.43814468	27.71571732	27.81078529	28.73697281	27.36260986	27.90538025	28.50854111	28.64898109	28.70664978	27.86685181	28.2285614	28.3663559	27.85359192	28.15634155
Q14204	Q14204	DYNC1H1	Cytoplasmic dynein 1 heavy chain 1 OS=Homo sapiens OX=9606 GN=DYNC1H1 PE=1 SV=5			27.67132187	27.98167229	27.45589638	27.53515625	27.75764084	27.54476929	27.73151207	27.74029922	27.88913536	27.96971893	27.74926758	27.8688736	27.80247307	28.02643967	27.66783524	28.22961617	27.7297039	27.76100159	27.80501556	27.84136963	27.53427124	27.69727707	27.86360168	27.8572464	27.95832634	27.86654854	27.85977936	27.84994507
P17936-2	P17936	IGFBP3	Isoform 2 of Insulin-like growth factor-binding protein 3 OS=Homo sapiens OX=9606 GN=IGFBP3			27.66963959	27.29236603	27.98766708	27.63682556	27.72999001	27.77033997	27.73232079	28.45882034	28.62698364	28.57352257	28.44522476	28.60052872	28.72998619	28.57294273	27.75570679	27.61146545	27.89946938	28.26062584	27.65950203	27.96597099	27.798769	28.62040901	28.83739853	28.57768631	28.85621834	28.71574402	28.74273872	28.52338409
P78527	P78527	PRKDC	DNA-dependent protein kinase catalytic subunit OS=Homo sapiens OX=9606 GN=PRKDC PE=1 SV=3			27.33102417	27.47774124	27.64963913	27.78065491	27.67999268	27.49680901	27.55042648	26.53339195	26.50475883	26.53437233	26.5717392	26.52652359	26.62927818	26.39893913	27.52033806	27.51354408	27.32660675	27.01200104	27.55269241	27.42157936	27.49969101	26.40938759	26.45939445	26.51493073	26.46630287	26.48226547	26.39205551	26.593647
Q14315	Q14315	FLNC	Filamin-C OS=Homo sapiens OX=9606 GN=FLNC PE=1 SV=3			27.78543663	27.36046219	27.78281403	27.66662788	27.66160583	27.59442711	27.53728485	29.68716431	29.82643509	30.11793518	29.80070686	30.06219101	30.03059959	29.74849319	27.76594734	27.83708763	27.99764633	28.0005455	27.58117485	27.77835083	27.6535244	29.76597214	29.7715435	29.99024963	29.87620926	29.70776176	29.62167931	30.14219284
O95810	O95810	CAVIN2	Caveolae-associated protein 2 OS=Homo sapiens OX=9606 GN=CAVIN2 PE=1 SV=3			27.54644966	27.79335022	28.21829414	27.90320969	27.69912148	28.05140495	27.66936493	26.79604149	27.02650452	27.0057354	27.21718597	26.90472794	27.04286003	26.51904297	27.58249474	27.20258141	27.42805481	27.10632896	27.76669884	27.61984634	28.07078552	26.98801613	26.60266685	26.71159363	26.67303658	26.79418182	26.66788292	26.75603867
P27824-2	P27824	CANX	Isoform 2 of Calnexin OS=Homo sapiens OX=9606 GN=CANX			27.71792984	27.96169662	27.50149918	27.53095627	27.6060276	27.45060921	27.51767159	26.58093071	26.53387642	26.5943985	26.40626144	26.49654007	26.44951248	26.44101715	27.74144173	27.89168167	27.69095612	27.7298851	27.84230995	27.58485985	27.47029114	26.51856422	26.51932526	26.57047653	26.55728912	26.53339767	26.67355919	26.64091492
Q09666	Q09666	AHNAK	Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens OX=9606 GN=AHNAK PE=1 SV=2			27.56421471	27.88786697	27.72811127	26.95288467	27.65025902	27.7277298	27.65585136	30.32247925	30.30995178	30.51515007	30.32051849	30.20884323	30.43016434	30.60214806	27.6726799	28.08403778	27.97681427	29.12619591	27.51567841	28.43982315	27.96907425	30.39236069	30.50740051	30.50027466	30.69918823	30.52454948	30.51522255	30.28115463
